ShapePairs,Subject,Distractor,Target,meanRT
13,6,D.Incongruent,T.Congruent,0.946693926904118
14,6,D.Incongruent,T.Congruent,0.883676494570682
15,6,D.Incongruent,T.Congruent,0.966722534105065
16,6,D.Incongruent,T.Congruent,0.704498987729312
17,6,D.Incongruent,T.Congruent,0.785245931561803
18,6,D.Incongruent,T.Congruent,0.759944229817484
19,6,D.Incongruent,T.Congruent,0.809683919153758
20,6,D.Incongruent,T.Congruent,0.775119921195437
21,6,D.Incongruent,T.Congruent,0.853595033480087
1,7,D.Incongruent,T.Congruent,0.966054676091881
2,7,D.Incongruent,T.Congruent,1.05709313167026
3,7,D.Incongruent,T.Congruent,0.748629498181981
4,7,D.Incongruent,T.Congruent,0.883764063875424
5,7,D.Incongruent,T.Congruent,1.06089153985668
6,7,D.Incongruent,T.Congruent,0.957738502282882
7,7,D.Incongruent,T.Congruent,1.03660547655309
8,7,D.Incongruent,T.Congruent,0.94230507343018
9,7,D.Incongruent,T.Congruent,1.10165808396996
10,7,D.Incongruent,T.Congruent,1.1818189182377
11,7,D.Incongruent,T.Congruent,1.08489985502092
12,7,D.Incongruent,T.Congruent,1.07410303223878
13,7,D.Incongruent,T.Congruent,1.14048929873097
14,7,D.Incongruent,T.Congruent,1.08367588917026
15,7,D.Incongruent,T.Congruent,1.19522442244343
16,7,D.Incongruent,T.Congruent,0.849375703046098
17,7,D.Incongruent,T.Congruent,1.02854085706349
18,7,D.Incongruent,T.Congruent,0.984293049931875
19,7,D.Incongruent,T.Congruent,1.06136505925097
20,7,D.Incongruent,T.Congruent,0.992746710125357
21,7,D.Incongruent,T.Congruent,1.22679601020936
1,8,D.Incongruent,T.Congruent,0.986334701403393
2,8,D.Incongruent,T.Congruent,1.22389672936115
3,8,D.Incongruent,T.Congruent,0.677951118655619
4,8,D.Incongruent,T.Congruent,0.798521365303895
5,8,D.Incongruent,T.Congruent,1.38541764658294
6,8,D.Incongruent,T.Congruent,1.21899693884188
7,8,D.Incongruent,T.Congruent,1.13434185269289
8,8,D.Incongruent,T.Congruent,0.952320956857875
9,8,D.Incongruent,T.Congruent,1.00286071956798
10,8,D.Incongruent,T.Congruent,1.31039178265783
11,8,D.Incongruent,T.Congruent,1.48644404390943
12,8,D.Incongruent,T.Congruent,1.19647758782376
13,8,D.Incongruent,T.Congruent,1.25824701274978
14,8,D.Incongruent,T.Congruent,1.52802601992444
15,8,D.Incongruent,T.Congruent,1.43831446419936
16,8,D.Incongruent,T.Congruent,0.847122785582906
17,8,D.Incongruent,T.Congruent,1.35663607471506
18,8,D.Incongruent,T.Congruent,1.25935305451858
19,8,D.Incongruent,T.Congruent,1.25227350304194
20,8,D.Incongruent,T.Congruent,1.04077326668194
21,8,D.Incongruent,T.Congruent,1.51836031107814
1,1,D.Incongruent,T.Incongruent,1.35895662838302
2,1,D.Incongruent,T.Incongruent,1.1808861462574
3,1,D.Incongruent,T.Incongruent,0.8855809968838
4,1,D.Incongruent,T.Incongruent,1.00910641625524
5,1,D.Incongruent,T.Incongruent,1.32481315370533
6,1,D.Incongruent,T.Incongruent,1.31620842098782
7,1,D.Incongruent,T.Incongruent,1.19912323660101
8,1,D.Incongruent,T.Incongruent,1.24688783298479
9,1,D.Incongruent,T.Incongruent,1.21607452855387
10,1,D.Incongruent,T.Incongruent,1.44368815936323
11,1,D.Incongruent,T.Incongruent,1.2942574108165
12,1,D.Incongruent,T.Incongruent,1.3436798639159
13,1,D.Incongruent,T.Incongruent,1.549656386688
14,1,D.Incongruent,T.Incongruent,1.05577412000857
15,1,D.Incongruent,T.Incongruent,1.05795201892033
16,1,D.Incongruent,T.Incongruent,1.07040202986682
17,1,D.Incongruent,T.Incongruent,1.24467430116201
18,1,D.Incongruent,T.Incongruent,1.33042917977145
19,1,D.Incongruent,T.Incongruent,1.19183302757156
20,1,D.Incongruent,T.Incongruent,1.18181769397343
21,1,D.Incongruent,T.Incongruent,1.37856735146197
1,2,D.Incongruent,T.Incongruent,1.01595964378212
2,2,D.Incongruent,T.Incongruent,1.09021824807278
3,2,D.Incongruent,T.Incongruent,0.894229772768449
4,2,D.Incongruent,T.Incongruent,1.22108060451283
5,2,D.Incongruent,T.Incongruent,0.968247097780113
6,2,D.Incongruent,T.Incongruent,1.11486679055088
7,2,D.Incongruent,T.Incongruent,0.905053243908333
8,2,D.Incongruent,T.Incongruent,1.06566850607342
9,2,D.Incongruent,T.Incongruent,1.22466278668435
10,2,D.Incongruent,T.Incongruent,1.21344841702667
11,2,D.Incongruent,T.Incongruent,1.09079939450312
12,2,D.Incongruent,T.Incongruent,1.19698967583827
13,2,D.Incongruent,T.Incongruent,1.36761814561614
14,2,D.Incongruent,T.Incongruent,1.11828751384455
15,2,D.Incongruent,T.Incongruent,1.0107953125902
16,2,D.Incongruent,T.Incongruent,1.14561247345118
17,2,D.Incongruent,T.Incongruent,1.23355306179146
18,2,D.Incongruent,T.Incongruent,1.2315132430871
19,2,D.Incongruent,T.Incongruent,1.27181830539193
20,2,D.Incongruent,T.Incongruent,1.2375329823728
21,2,D.Incongruent,T.Incongruent,1.22323260284029
1,3,D.Incongruent,T.Incongruent,1.39347560638853
2,3,D.Incongruent,T.Incongruent,1.45776768716169
3,3,D.Incongruent,T.Incongruent,1.0137148784328
4,3,D.Incongruent,T.Incongruent,1.15530844483583
5,3,D.Incongruent,T.Incongruent,1.44728612122708
6,3,D.Incongruent,T.Incongruent,1.61190678667044
7,3,D.Incongruent,T.Incongruent,1.12397042833327
8,3,D.Incongruent,T.Incongruent,1.11859236058372
9,3,D.Incongruent,T.Incongruent,1.53483706463885
10,3,D.Incongruent,T.Incongruent,1.35551553214027
11,3,D.Incongruent,T.Incongruent,1.2612820571725
12,3,D.Incongruent,T.Incongruent,1.38735208888538
13,3,D.Incongruent,T.Incongruent,1.80321118007123
14,3,D.Incongruent,T.Incongruent,1.2666934665147
15,3,D.Incongruent,T.Incongruent,1.24310134198458
16,3,D.Incongruent,T.Incongruent,1.35272890008928
17,3,D.Incongruent,T.Incongruent,1.49537034375826
18,3,D.Incongruent,T.Incongruent,1.35450733046164
19,3,D.Incongruent,T.Incongruent,1.33971681207477
20,3,D.Incongruent,T.Incongruent,1.46754136760137
21,3,D.Incongruent,T.Incongruent,1.26772323612822
1,4,D.Incongruent,T.Incongruent,0.937249153702578
2,4,D.Incongruent,T.Incongruent,1.12598491828248
3,4,D.Incongruent,T.Incongruent,0.761750701435085
4,4,D.Incongruent,T.Incongruent,0.918370010047511
