ShapePairs,Subject,Distractor,Target,meanRT
13,6,D.Congruent,T.Incongruent,0.745515894287382
14,6,D.Congruent,T.Incongruent,0.817190951082739
15,6,D.Congruent,T.Incongruent,0.735634938682779
16,6,D.Congruent,T.Incongruent,1.13234684866038
17,6,D.Congruent,T.Incongruent,1.17688643863075
18,6,D.Congruent,T.Incongruent,0.9616276278859
19,6,D.Congruent,T.Incongruent,0.981398028429248
20,6,D.Congruent,T.Incongruent,0.921712100566947
21,6,D.Congruent,T.Incongruent,0.962256880634232
1,7,D.Congruent,T.Incongruent,0.798763538961066
2,7,D.Congruent,T.Incongruent,0.972558396149543
3,7,D.Congruent,T.Incongruent,0.925637698106584
4,7,D.Congruent,T.Incongruent,1.07025790021871
5,7,D.Congruent,T.Incongruent,1.20407540739106
6,7,D.Congruent,T.Incongruent,0.959174602272105
7,7,D.Congruent,T.Incongruent,0.802356189864804
8,7,D.Congruent,T.Incongruent,0.799669457940036
9,7,D.Congruent,T.Incongruent,0.925870282773394
10,7,D.Congruent,T.Incongruent,0.979104145086603
11,7,D.Congruent,T.Incongruent,0.915178213245235
12,7,D.Congruent,T.Incongruent,0.925223941370496
13,7,D.Congruent,T.Incongruent,0.962642266220064
14,7,D.Congruent,T.Incongruent,0.975996574640158
15,7,D.Congruent,T.Incongruent,0.896125639128149
16,7,D.Congruent,T.Incongruent,0.995940229712869
17,7,D.Congruent,T.Incongruent,1.11066009150527
18,7,D.Congruent,T.Incongruent,1.07055073874071
19,7,D.Congruent,T.Incongruent,1.00871968173888
20,7,D.Congruent,T.Incongruent,1.00297856607649
21,7,D.Congruent,T.Incongruent,1.03522074208886
1,8,D.Congruent,T.Incongruent,1.14658834522415
2,8,D.Congruent,T.Incongruent,1.03098044487706
3,8,D.Congruent,T.Incongruent,0.957869683959871
4,8,D.Congruent,T.Incongruent,1.10833579167083
5,8,D.Congruent,T.Incongruent,1.50477777996566
6,8,D.Congruent,T.Incongruent,1.16236768933013
7,8,D.Congruent,T.Incongruent,0.894382581030368
8,8,D.Congruent,T.Incongruent,1.08484617712093
9,8,D.Congruent,T.Incongruent,1.10997934552142
10,8,D.Congruent,T.Incongruent,1.49838867342914
11,8,D.Congruent,T.Incongruent,1.04906625238946
12,8,D.Congruent,T.Incongruent,1.17260952285142
13,8,D.Congruent,T.Incongruent,1.09038500730821
14,8,D.Congruent,T.Incongruent,1.26610539958929
15,8,D.Congruent,T.Incongruent,1.15170316255244
16,8,D.Congruent,T.Incongruent,1.073195588417
17,8,D.Congruent,T.Incongruent,1.52992057402444
18,8,D.Congruent,T.Incongruent,1.19923153075797
19,8,D.Congruent,T.Incongruent,1.2886531877215
20,8,D.Congruent,T.Incongruent,1.01785491632181
21,8,D.Congruent,T.Incongruent,1.25109122574795
1,1,D.Incongruent,T.Incongruent,1.35895662838302
2,1,D.Incongruent,T.Incongruent,1.1808861462574
3,1,D.Incongruent,T.Incongruent,0.8855809968838
4,1,D.Incongruent,T.Incongruent,1.00910641625524
5,1,D.Incongruent,T.Incongruent,1.32481315370533
6,1,D.Incongruent,T.Incongruent,1.31620842098782
7,1,D.Incongruent,T.Incongruent,1.19912323660101
8,1,D.Incongruent,T.Incongruent,1.24688783298479
9,1,D.Incongruent,T.Incongruent,1.21607452855387
10,1,D.Incongruent,T.Incongruent,1.44368815936323
11,1,D.Incongruent,T.Incongruent,1.2942574108165
12,1,D.Incongruent,T.Incongruent,1.3436798639159
13,1,D.Incongruent,T.Incongruent,1.549656386688
14,1,D.Incongruent,T.Incongruent,1.05577412000857
15,1,D.Incongruent,T.Incongruent,1.05795201892033
16,1,D.Incongruent,T.Incongruent,1.07040202986682
17,1,D.Incongruent,T.Incongruent,1.24467430116201
18,1,D.Incongruent,T.Incongruent,1.33042917977145
19,1,D.Incongruent,T.Incongruent,1.19183302757156
20,1,D.Incongruent,T.Incongruent,1.18181769397343
21,1,D.Incongruent,T.Incongruent,1.37856735146197
1,2,D.Incongruent,T.Incongruent,1.01595964378212
2,2,D.Incongruent,T.Incongruent,1.09021824807278
3,2,D.Incongruent,T.Incongruent,0.894229772768449
4,2,D.Incongruent,T.Incongruent,1.22108060451283
5,2,D.Incongruent,T.Incongruent,0.968247097780113
6,2,D.Incongruent,T.Incongruent,1.11486679055088
